NL,SQL
show borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people with age over 829,SELECT * FROM loans WHERE age > 829;
what is the number tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the highest tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
what is the count credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
display the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch borrowers having tenure_months greater than 5470 and credit_score not exceeding 573,SELECT * FROM loans WHERE tenure_months > 5470 AND credit_score < 573;
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list people with disbursement_amount greater than 24198 and tenure_months below 465,SELECT * FROM loans WHERE disbursement_amount > 24198 AND tenure_months < 465;
fetch people ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
what is the maximum credit_score of all loans,SELECT MAX(credit_score) FROM loans;
list people having disbursement_amount above 18455 and tenure_months less than 706,SELECT * FROM loans WHERE disbursement_amount > 18455 AND tenure_months < 706;
display customers with disbursement_amount more than 15486 and credit_score less than 340,SELECT * FROM loans WHERE disbursement_amount > 15486 AND credit_score < 340;
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers where credit_score greater than 49500 and tenure_months less than 790,SELECT * FROM loans WHERE credit_score > 49500 AND tenure_months < 790;
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list clients with disbursement_amount more than 33899 and tenure_months not exceeding 507,SELECT * FROM loans WHERE disbursement_amount > 33899 AND tenure_months < 507;
show people where tenure_months more than 23785 and disbursement_amount under 392,SELECT * FROM loans WHERE tenure_months > 23785 AND disbursement_amount < 392;
show people where credit_score greater than 8907 and disbursement_amount less than 311,SELECT * FROM loans WHERE credit_score > 8907 AND disbursement_amount < 311;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show clients with age above 196,SELECT * FROM loans WHERE age > 196;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
display people with disbursement_amount above 568,SELECT * FROM loans WHERE disbursement_amount > 568;
show people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
fetch people with disbursement_amount greater than 350,SELECT * FROM loans WHERE disbursement_amount > 350;
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
display borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
display people where tenure_months above 20934 and disbursement_amount less than 772,SELECT * FROM loans WHERE tenure_months > 20934 AND disbursement_amount < 772;
display clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list borrowers where credit_score over 757,SELECT * FROM loans WHERE credit_score > 757;
give me people with credit_score above 39538 and tenure_months not exceeding 337,SELECT * FROM loans WHERE credit_score > 39538 AND tenure_months < 337;
show people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
fetch borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
display clients having tenure_months greater than 981,SELECT * FROM loans WHERE tenure_months > 981;
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people with disbursement_amount above 37002 and credit_score not exceeding 484,SELECT * FROM loans WHERE disbursement_amount > 37002 AND credit_score < 484;
display clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the highest tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
show clients with disbursement_amount above 22676 and credit_score not exceeding 540,SELECT * FROM loans WHERE disbursement_amount > 22676 AND credit_score < 540;
fetch customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the count credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
list people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the lowest credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people having tenure_months over 10894 and credit_score less than 635,SELECT * FROM loans WHERE tenure_months > 10894 AND credit_score < 635;
fetch the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch people having tenure_months above 40271 and credit_score under 471,SELECT * FROM loans WHERE tenure_months > 40271 AND credit_score < 471;
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
fetch people with tenure_months more than 386,SELECT * FROM loans WHERE tenure_months > 386;
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the total disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display clients ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
what is the maximum credit_score of all loans,SELECT MAX(credit_score) FROM loans;
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients with credit_score more than 34646 and disbursement_amount under 527,SELECT * FROM loans WHERE credit_score > 34646 AND disbursement_amount < 527;
display the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch clients with disbursement_amount more than 40430 and credit_score not exceeding 479,SELECT * FROM loans WHERE disbursement_amount > 40430 AND credit_score < 479;
show the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
what is the avg tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
give me customers where tenure_months over 309,SELECT * FROM loans WHERE tenure_months > 309;
fetch clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers having age above 345,SELECT * FROM loans WHERE age > 345;
display customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show customers having age over 537,SELECT * FROM loans WHERE age > 537;
list customers with tenure_months more than 845,SELECT * FROM loans WHERE tenure_months > 845;
fetch people with disbursement_amount greater than 48482 and tenure_months under 680,SELECT * FROM loans WHERE disbursement_amount > 48482 AND tenure_months < 680;
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers with disbursement_amount more than 35403 and tenure_months below 798,SELECT * FROM loans WHERE disbursement_amount > 35403 AND tenure_months < 798;
fetch customers having age greater than 863,SELECT * FROM loans WHERE age > 863;
list customers where tenure_months above 17128 and credit_score below 339,SELECT * FROM loans WHERE tenure_months > 17128 AND credit_score < 339;
what is the maximum tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people where tenure_months above 2172 and credit_score not exceeding 752,SELECT * FROM loans WHERE tenure_months > 2172 AND credit_score < 752;
display customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch people having disbursement_amount over 569,SELECT * FROM loans WHERE disbursement_amount > 569;
list clients having age more than 795,SELECT * FROM loans WHERE age > 795;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display customers with disbursement_amount over 3373 and credit_score less than 375,SELECT * FROM loans WHERE disbursement_amount > 3373 AND credit_score < 375;
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
what is the avg credit_score of all loans,SELECT AVG(credit_score) FROM loans;
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
fetch people ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
fetch customers having disbursement_amount more than 13070 and credit_score under 301,SELECT * FROM loans WHERE disbursement_amount > 13070 AND credit_score < 301;
give me clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list borrowers having disbursement_amount above 32196 and tenure_months under 331,SELECT * FROM loans WHERE disbursement_amount > 32196 AND tenure_months < 331;
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show borrowers with age over 22,SELECT * FROM loans WHERE age > 22;
fetch the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the min credit_score of all loans,SELECT MIN(credit_score) FROM loans;
give me customers where disbursement_amount greater than 28034 and tenure_months under 443,SELECT * FROM loans WHERE disbursement_amount > 28034 AND tenure_months < 443;
what is the minimum credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display people where credit_score over 5159 and disbursement_amount below 556,SELECT * FROM loans WHERE credit_score > 5159 AND disbursement_amount < 556;
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people where credit_score greater than 22113 and disbursement_amount less than 351,SELECT * FROM loans WHERE credit_score > 22113 AND disbursement_amount < 351;
what is the mean tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch borrowers with age above 536,SELECT * FROM loans WHERE age > 536;
what is the count tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
fetch people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the sum disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the count disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
list customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the count disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
show people where credit_score over 536,SELECT * FROM loans WHERE credit_score > 536;
display people with disbursement_amount above 777,SELECT * FROM loans WHERE disbursement_amount > 777;
show people with credit_score over 344,SELECT * FROM loans WHERE credit_score > 344;
what is the min credit_score of all loans,SELECT MIN(credit_score) FROM loans;
show borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients with tenure_months over 434,SELECT * FROM loans WHERE tenure_months > 434;
display people having tenure_months above 38391 and credit_score below 574,SELECT * FROM loans WHERE tenure_months > 38391 AND credit_score < 574;
give me people with disbursement_amount over 26172 and credit_score below 491,SELECT * FROM loans WHERE disbursement_amount > 26172 AND credit_score < 491;
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me people where disbursement_amount above 36219 and tenure_months below 433,SELECT * FROM loans WHERE disbursement_amount > 36219 AND tenure_months < 433;
display people where disbursement_amount above 891,SELECT * FROM loans WHERE disbursement_amount > 891;
show customers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
give me customers having disbursement_amount above 34893 and credit_score under 770,SELECT * FROM loans WHERE disbursement_amount > 34893 AND credit_score < 770;
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the overall disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
give me clients having age greater than 80,SELECT * FROM loans WHERE age > 80;
give me clients having disbursement_amount greater than 33944 and credit_score not exceeding 386,SELECT * FROM loans WHERE disbursement_amount > 33944 AND credit_score < 386;
list customers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show borrowers where age over 321,SELECT * FROM loans WHERE age > 321;
fetch borrowers with disbursement_amount above 25139 and tenure_months less than 547,SELECT * FROM loans WHERE disbursement_amount > 25139 AND tenure_months < 547;
list clients ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
fetch customers where credit_score over 33967 and disbursement_amount not exceeding 621,SELECT * FROM loans WHERE credit_score > 33967 AND disbursement_amount < 621;
give me customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
what is the lowest credit_score of all loans,SELECT MIN(credit_score) FROM loans;
fetch the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display borrowers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show people with disbursement_amount over 42180 and credit_score below 577,SELECT * FROM loans WHERE disbursement_amount > 42180 AND credit_score < 577;
display clients having credit_score above 18069 and disbursement_amount not exceeding 633,SELECT * FROM loans WHERE credit_score > 18069 AND disbursement_amount < 633;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
give me borrowers having disbursement_amount above 1508 and credit_score less than 633,SELECT * FROM loans WHERE disbursement_amount > 1508 AND credit_score < 633;
display clients having credit_score greater than 418,SELECT * FROM loans WHERE credit_score > 418;
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
display borrowers having credit_score above 732,SELECT * FROM loans WHERE credit_score > 732;
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the highest credit_score of all loans,SELECT MAX(credit_score) FROM loans;
give me borrowers with disbursement_amount over 6148 and tenure_months below 307,SELECT * FROM loans WHERE disbursement_amount > 6148 AND tenure_months < 307;
list people ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers having age greater than 188,SELECT * FROM loans WHERE age > 188;
